width,space,length,gnd_width,unshield_length,via_thickness,metal_thickness,vin,vrise,period,txres,delay
2.65,2.7,3424.0,0.85,514.0,0.84,1.4,1.25,28.0,581.5,23.0, 85.349
2.65,2.7,3424.0,0.85,514.0,0.84,1.4,0.5,32.25,333.25,64.5, 101.628
2.65,2.7,3424.0,0.85,514.0,0.84,1.4,1.05,80.75,433.0,28.5, 87.390
2.65,2.7,3424.0,0.85,514.0,0.84,1.4,0.75,24.25,156.75,48.5, 94.524
1.9,4.1,1943.0,3.3,497.0,0.56,0.84,1.2,74.0,505.25,46.5, 92.250
1.9,4.1,1943.0,3.3,497.0,0.56,0.84,0.9,52.5,333.0,29.0, 81.298
1.9,4.1,1943.0,3.3,497.0,0.56,0.84,0.65,9.25,399.5,13.0, -816.527
1.9,4.1,1943.0,3.3,497.0,0.56,0.84,0.85,15.25,142.5,67.0, 85.769
1.3,4.08,3995.0,4.75,484.0,1.32,0.48,0.85,40.0,486.25,71.0, 169.487
1.3,4.08,3995.0,4.75,484.0,1.32,0.48,0.55,69.0,375.0,26.0, 126.034
1.3,4.08,3995.0,4.75,484.0,1.32,0.48,1.25,9.0,179.0,38.0, 118.798
1.3,4.08,3995.0,4.75,484.0,1.32,0.48,0.95,26.5,214.5,57.0, 132.466
1.05,3.98,2322.0,1.95,318.0,1.44,0.9,1.1,22.5,331.25,71.5, 86.675
1.05,3.98,2322.0,1.95,318.0,1.44,0.9,0.7,46.75,408.75,12.5, 58.177
